"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-2","180.95","181.03","181.78","179.26","59.94M","0.48%"
"2023-6-1","180.09","177.70","180.12","176.93","65.30M","1.60%"
"2023-5-31","177.25","177.32","179.35","176.76","99.31M","-0.03%"
"2023-5-30","177.30","176.96","178.99","176.57","55.77M","1.07%"
"2023-5-26","175.43","173.32","175.77","173.11","54.83M","1.41%"
"2023-5-25","172.99","172.41","173.90","171.69","55.92M","0.67%"
"2023-5-24","171.84","171.09","172.42","170.52","43.49M","0.16%"
"2023-5-23","171.56","173.13","173.38","171.27","49.18M","-1.52%"
"2023-5-22","174.20","173.98","174.71","173.45","43.31M","-0.55%"
"2023-5-19","175.16","176.39","176.39","174.94","52.68M","0.06%"
"2023-5-18","175.05","173.00","175.24","172.58","65.09M","1.37%"
"2023-5-17","172.69","171.71","172.93","170.42","57.95M","0.36%"
"2023-5-16","172.07","171.99","173.14","171.80","42.11M","0.00%"
"2023-5-15","172.07","173.16","173.21","171.47","37.18M","-0.29%"
"2023-5-12","172.57","173.62","174.06","171.00","45.53M","-0.68%"
"2023-5-11","173.75","173.85","174.59","172.17","49.51M","0.11%"
"2023-5-10","173.55","173.02","174.03","171.90","53.72M","1.04%"
"2023-5-9","171.77","173.05","173.54","171.60","45.33M","-1.00%"
"2023-5-8","173.50","172.48","173.85","172.11","55.96M","-0.04%"
"2023-5-5","173.57","170.98","174.30","170.76","113.45M","4.69%"
"2023-5-4","165.79","164.89","167.04","164.31","70.38M","-0.99%"
"2023-5-3","167.45","169.50","170.92","167.16","59.44M","-0.65%"
"2023-5-2","168.54","170.09","170.35","167.54","48.43M","-0.62%"
"2023-5-1","169.59","169.28","170.45","168.64","49.39M","-0.05%"
"2023-4-28","169.68","168.49","169.85","167.88","55.28M","0.75%"
"2023-4-27","168.41","165.19","168.56","165.19","64.22M","2.84%"
"2023-4-26","163.76","163.05","165.28","162.80","44.11M","-0.01%"
"2023-4-25","163.77","165.19","166.30","163.73","48.17M","-0.94%"
"2023-4-24","165.33","165.00","165.60","163.89","38.99M","0.19%"
"2023-4-21","165.02","165.05","166.45","164.49","58.34M","-0.98%"
"2023-4-20","166.65","166.09","167.87","165.56","52.46M","-0.58%"
"2023-4-19","167.63","165.80","168.16","165.54","47.24M","0.70%"
"2023-4-18","166.47","166.10","167.41","165.65","48.41M","0.75%"
"2023-4-17","165.23","165.09","165.39","164.03","41.52M","0.01%"
"2023-4-14","165.21","164.59","166.32","163.82","49.39M","-0.21%"
"2023-4-13","165.56","161.63","165.80","161.42","67.16M","3.41%"
"2023-4-12","160.10","161.22","162.06","159.78","49.40M","-0.44%"
"2023-4-11","160.80","162.35","162.36","160.51","46.31M","-0.76%"
"2023-4-10","162.03","161.42","162.03","160.08","47.03M","-1.60%"
"2023-4-6","164.66","162.43","164.96","162.00","45.39M","0.55%"
"2023-4-5","163.76","164.74","165.05","161.80","51.30M","-1.13%"
"2023-4-4","165.63","166.60","166.84","165.11","44.43M","-0.32%"
"2023-4-3","166.17","164.27","166.29","164.22","54.97M","0.77%"
"2023-3-31","164.90","162.44","165.00","161.91","68.75M","1.56%"
"2023-3-30","162.36","161.53","162.47","161.27","46.81M","0.99%"
"2023-3-29","160.77","159.37","161.05","159.35","51.31M","1.98%"
"2023-3-28","157.65","157.97","158.49","155.98","45.58M","-0.40%"
"2023-3-27","158.28","159.94","160.77","157.87","50.42M","-1.23%"
"2023-3-24","160.25","158.86","160.34","157.85","59.26M","0.83%"
"2023-3-23","158.93","158.83","161.55","157.68","67.22M","0.70%"
"2023-3-22","157.83","159.30","162.14","157.81","69.17M","-0.91%"
"2023-3-21","159.28","157.32","159.40","156.54","73.76M","1.19%"
"2023-3-20","157.40","155.07","157.82","154.15","73.47M","1.55%"
"2023-3-17","155.00","156.08","156.74","154.28","98.94M","-0.55%"
"2023-3-16","155.85","152.16","156.46","151.64","76.02M","1.87%"
"2023-3-15","152.99","151.19","153.24","149.92","75.96M","0.26%"
"2023-3-14","152.59","151.28","153.40","150.10","73.37M","1.41%"
"2023-3-13","150.47","147.80","153.14","147.70","84.46M","1.33%"
"2023-3-10","148.50","150.21","150.94","147.61","68.57M","-1.39%"
"2023-3-9","150.59","153.56","154.54","150.23","53.45M","-1.49%"
"2023-3-8","152.87","152.81","153.47","151.83","47.20M","0.84%"
"2023-3-7","151.60","153.70","154.03","151.13","56.18M","-1.45%"
"2023-3-6","153.83","153.79","156.30","153.46","87.56M","1.85%"
"2023-3-3","151.03","148.04","151.11","147.33","70.50M","3.51%"
"2023-3-2","145.91","144.38","146.71","143.90","52.09M","0.41%"
"2023-3-1","145.31","146.83","147.23","145.01","55.22M","-1.42%"
"2023-2-28","147.41","147.05","149.08","146.83","50.55M","-0.34%"
"2023-2-27","147.92","147.71","149.17","147.45","45.00M","0.82%"
"2023-2-24","146.71","147.11","147.19","145.72","55.47M","-1.80%"
"2023-2-23","149.40","150.09","150.34","147.24","48.39M","0.33%"
"2023-2-22","148.91","148.87","149.95","147.16","51.01M","0.29%"
"2023-2-21","148.48","150.20","151.30","148.40","58.87M","-2.67%"
"2023-2-17","152.55","152.35","153.00","150.85","59.14M","-0.75%"
"2023-2-16","153.71","153.51","156.33","153.35","66.84M","-1.04%"
"2023-2-15","155.33","153.11","155.50","152.88","65.47M","1.39%"
"2023-2-14","153.20","152.12","153.77","150.86","61.71M","-0.42%"
"2023-2-13","153.85","150.95","154.26","150.92","61.86M","1.88%"
"2023-2-10","151.01","149.46","151.34","149.22","57.45M","0.09%"
"2023-2-9","150.87","153.77","154.33","150.42","54.90M","-0.69%"
"2023-2-8","151.92","153.88","154.58","151.17","63.47M","-1.77%"
"2023-2-7","154.65","150.64","155.23","150.64","83.03M","1.92%"
"2023-2-6","151.73","152.57","153.10","150.78","68.02M","-1.79%"
"2023-2-3","154.50","148.03","157.38","147.83","154.36M","2.44%"
"2023-2-2","150.82","148.90","151.18","148.17","104.48M","3.71%"
"2023-2-1","145.43","143.97","146.61","141.32","76.77M","0.79%"
"2023-1-31","144.29","142.70","144.34","142.28","65.87M","0.90%"
"2023-1-30","143.00","144.96","145.55","142.85","62.98M","-2.01%"
"2023-1-27","145.93","143.15","147.23","143.08","70.56M","1.37%"
"2023-1-26","143.96","143.17","144.25","141.90","53.65M","1.48%"
"2023-1-25","141.86","140.89","142.43","138.81","64.69M","-0.47%"
"2023-1-24","142.53","140.30","143.16","140.30","63.71M","1.01%"
"2023-1-23","141.11","138.12","143.32","137.90","81.57M","2.35%"
"2023-1-20","137.87","135.28","138.02","134.22","80.22M","1.92%"
"2023-1-19","135.27","134.08","136.25","133.77","58.07M","0.04%"
"2023-1-18","135.21","136.82","138.61","135.03","69.67M","-0.54%"
"2023-1-17","135.94","134.83","137.29","134.13","63.42M","0.88%"
"2023-1-13","134.76","132.03","134.92","131.66","57.81M","1.01%"
"2023-1-12","133.41","133.88","134.26","131.44","71.25M","-0.06%"
"2023-1-11","133.49","131.25","133.51","130.46","69.12M","2.11%"
"2023-1-10","130.73","130.26","131.26","128.12","63.43M","0.45%"
"2023-1-9","130.15","130.46","133.41","129.89","70.50M","0.41%"
"2023-1-6","129.62","126.01","130.29","124.89","87.76M","3.68%"
"2023-1-5","125.02","127.13","127.77","124.76","79.97M","-1.06%"
"2023-1-4","126.36","126.89","128.66","125.08","88.46M","1.03%"
"2023-1-3","125.07","130.28","130.90","124.17","111.68M","-3.74%"
"2022-12-30","129.93","128.41","129.95","127.43","77.03M","0.25%"
"2022-12-29","129.61","127.99","130.48","127.73","75.48M","2.83%"
"2022-12-28","126.04","129.67","131.03","125.87","84.90M","-3.07%"
"2022-12-27","130.03","131.38","131.41","128.72","68.75M","-1.39%"
"2022-12-23","131.86","130.92","132.41","129.64","63.82M","-0.28%"
"2022-12-22","132.23","134.35","134.56","130.30","77.59M","-2.38%"
"2022-12-21","135.45","132.98","136.81","132.75","85.75M","2.38%"
"2022-12-20","132.30","131.39","133.25","129.89","77.08M","-0.05%"
"2022-12-19","132.37","135.11","135.20","131.32","79.15M","-1.59%"
"2022-12-16","134.51","136.68","137.65","133.73","160.16M","-1.46%"
"2022-12-15","136.50","141.11","141.80","136.02","97.25M","-4.69%"
"2022-12-14","143.21","145.35","146.65","141.16","82.29M","-1.55%"
"2022-12-13","145.47","149.50","149.97","144.24","93.73M","0.68%"
"2022-12-12","144.49","142.70","144.50","141.06","70.31M","1.64%"
"2022-12-9","142.16","142.34","145.57","140.90","76.10M","-0.34%"
"2022-12-8","142.65","142.36","143.52","141.10","61.91M","1.21%"
"2022-12-7","140.94","142.19","143.37","140.00","69.51M","-1.38%"
"2022-12-6","142.91","147.07","147.30","141.92","64.52M","-2.54%"
"2022-12-5","146.63","147.77","150.92","145.77","68.39M","-0.80%"
"2022-12-2","147.81","145.96","148.00","145.65","65.45M","-0.34%"
"2022-12-1","148.31","148.21","149.13","146.61","71.25M","0.19%"
"2022-11-30","148.03","141.40","148.72","140.55","111.38M","4.86%"
"2022-11-29","141.17","144.29","144.81","140.35","83.76M","-2.11%"
"2022-11-28","144.22","145.14","146.64","143.38","69.35M","-2.63%"
"2022-11-25","148.11","148.30","148.88","147.12","35.20M","-1.96%"
"2022-11-23","151.07","149.45","151.83","149.34","58.30M","0.59%"
"2022-11-22","150.18","148.13","150.42","146.93","51.80M","1.47%"
"2022-11-21","148.01","150.16","150.37","147.71","58.72M","-2.17%"
"2022-11-18","151.29","152.30","152.70","149.97","74.83M","0.38%"
"2022-11-17","150.72","146.43","151.48","146.15","80.39M","1.30%"
"2022-11-16","148.79","149.13","149.87","147.29","64.22M","-0.83%"
"2022-11-15","150.04","152.21","153.59","148.56","89.87M","1.19%"
"2022-11-14","148.28","148.97","150.28","147.43","73.37M","-0.95%"
"2022-11-11","149.70","145.82","150.01","144.37","93.98M","1.93%"
