"日期","收盘","开盘","高","低","交易量","涨跌幅"
"2023-6-2","503,000","494,932","503,777","493,283","6.53K","2.24%"
"2023-6-1","492,000","489,307","492,791","486,125","5.68K","0.81%"
"2023-5-31","488,024","488,339","490,541","485,565","5.67K","-0.25%"
"2023-5-30","489,225","489,006","490,572","484,736","8.12K","0.53%"
"2023-5-26","486,650","486,973","489,900","484,811","5.80K","0.55%"
"2023-5-25","484,000","484,591","490,300","482,500","5.65K","-0.52%"
"2023-5-24","486,545","491,536","494,039","484,394","5.97K","-1.10%"
"2023-5-23","491,980","499,999","502,200","490,950","6.08K","-1.83%"
"2023-5-22","501,149","506,673","509,654","500,697","9.71K","-1.19%"
"2023-5-19","507,161","505,890","511,335","503,905","6.40K","0.56%"
"2023-5-18","504,360","502,450","505,420","498,125","5.88K","0.75%"
"2023-5-17","500,600","498,176","503,000","494,787","6.00K","0.40%"
"2023-5-16","498,620","493,583","499,999","490,756","6.63K","0.55%"
"2023-5-15","495,900","492,844","497,580","489,001","7.34K","0.96%"
"2023-5-12","491,183","494,997","497,781","488,991","5.15K","-0.37%"
"2023-5-11","493,000","489,430","493,000","487,000","5.01K","0.20%"
"2023-5-10","492,000","500,010","502,278","488,675","6.01K","-1.40%"
"2023-5-9","499,000","495,001","499,000","492,495","5.15K","0.40%"
"2023-5-8","497,000","497,248","502,055","495,500","7.21K","1.05%"
"2023-5-5","491,840","494,407","497,080","490,000","5.75K","0.47%"
"2023-5-4","489,540","490,456","497,864","486,821","5.12K","0.19%"
"2023-5-3","488,606","496,237","498,452","488,606","5.16K","-1.11%"
"2023-5-2","494,100","503,408","505,320","492,584","5.69K","-1.85%"
"2023-5-1","503,400","502,856","506,000","501,485","7.43K","0.10%"
"2023-4-28","502,880","497,818","503,000","495,916","5.44K","0.64%"
"2023-4-27","499,700","497,200","500,000","492,072","4.72K","1.67%"
"2023-4-26","491,500","496,824","499,999","490,350","4.81K","-0.73%"
"2023-4-25","495,112","495,901","499,975","494,619","4.90K","-0.63%"
"2023-4-24","498,250","496,363","500,279","494,659","6.09K","0.37%"
"2023-4-21","496,405","495,307","499,079","492,891","4.83K","0.02%"
"2023-4-20","496,300","492,897","497,371","488,221","4.58K","0.27%"
"2023-4-19","494,948","497,800","497,800","491,590","4.60K","-0.25%"
"2023-4-18","496,200","492,571","505,949","492,571","4.98K","-0.34%"
"2023-4-17","497,900","485,731","503,735","485,731","6.72K","0.38%"
"2023-4-14","496,000","493,920","500,001","489,776","5.82K","1.07%"
"2023-4-13","490,760","483,904","500,000","481,321","5.51K","1.50%"
"2023-4-12","483,500","484,184","486,980","482,018","5.14K","0.56%"
"2023-4-11","480,800","476,618","483,720","474,227","4.74K","0.90%"
"2023-4-10","476,500","474,804","485,000","471,706","7.21K","-0.31%"
"2023-4-6","478,005","473,479","478,581","467,601","5.10K","1.38%"
"2023-4-5","471,500","467,140","472,000","464,694","5.10K","0.82%"
"2023-4-4","467,660","472,053","472,053","464,855","4.35K","-0.45%"
"2023-4-3","469,760","468,875","471,770","465,570","6.53K","0.89%"
"2023-3-31","465,600","462,416","466,805","461,434","4.39K","0.83%"
"2023-3-30","461,780","468,030","468,030","457,563","4.25K","-0.07%"
"2023-3-29","462,100","461,814","463,605","459,979","4.01K","0.68%"
"2023-3-28","459,000","458,031","459,443","456,117","3.90K","0.26%"
"2023-3-27","457,820","456,217","460,931","453,852","5.54K","1.05%"
"2023-3-24","453,066","448,612","455,820","445,886","4.49K","0.07%"
"2023-3-23","452,750","457,527","459,924","449,950","4.35K","-0.64%"
"2023-3-22","455,660","461,085","465,552","454,713","4.19K","-1.05%"
"2023-3-21","460,515","462,471","463,855","458,600","4.49K","1.01%"
"2023-3-20","455,917","446,749","456,840","444,894","6.05K","2.97%"
"2023-3-17","442,765","453,739","455,608","442,364","5.26K","-2.76%"
"2023-3-16","455,350","447,520","458,758","445,695","5.11K","1.49%"
"2023-3-15","448,671","455,001","456,730","446,275","5.18K","-2.84%"
"2023-3-14","461,805","464,928","465,670","457,000","4.09K","0.82%"
"2023-3-13","458,050","457,112","464,055","455,250","6.04K","-0.52%"
"2023-3-10","460,462","460,775","464,750","457,232","4.54K","-0.12%"
"2023-3-9","461,030","471,004","474,834","460,924","4.17K","-2.32%"
"2023-3-8","472,002","471,518","474,129","468,800","4.03K","0.11%"
"2023-3-7","471,500","479,733","481,824","470,255","4.41K","-1.81%"
"2023-3-6","480,215","476,182","480,945","472,486","6.26K","1.47%"
"2023-3-3","473,256","469,298","473,428","467,448","4.53K","1.39%"
"2023-3-2","466,790","461,965","467,007","457,179","3.99K","0.94%"
