"Date","Price","Open","High","Low","Vol.","Change %"
"01/10/2024","338.16","338.16","338.16","338.16","","-0.57%"
"01/09/2024","340.10","340.10","340.10","340.10","","0.33%"
"01/08/2024","338.97","338.97","338.97","338.97","","0.14%"
"01/05/2024","338.49","338.49","338.49","338.49","","0.23%"
"01/04/2024","337.70","337.70","337.70","337.70","","-0.80%"
"01/03/2024","340.42","340.42","340.42","340.42","","-0.89%"
"01/02/2024","343.48","343.48","343.48","343.48","","-0.39%"
"12/29/2023","344.82","344.82","344.82","344.82","","0.75%"
"12/28/2023","342.26","342.26","342.26","342.26","","1.40%"
"12/27/2023","337.53","337.53","337.53","337.53","","0.90%"
"12/26/2023","334.52","334.52","334.52","334.52","","-0.02%"
"12/25/2023","334.59","334.59","334.59","334.59","","0.00%"
"12/22/2023","334.59","334.59","334.59","334.59","","0.95%"
"12/21/2023","331.44","331.44","331.44","331.44","","0.13%"
"12/20/2023","331.02","331.02","331.02","331.02","","-0.24%"
"12/19/2023","331.83","331.83","331.83","331.83","","0.11%"
"12/18/2023","331.45","331.45","331.45","331.45","","-0.16%"
"12/15/2023","331.98","331.98","331.98","331.98","","-0.29%"
"12/14/2023","332.94","332.94","332.94","332.94","","0.70%"
"12/13/2023","330.63","330.63","330.63","330.63","","0.13%"
"12/12/2023","330.20","330.20","330.20","330.20","","0.40%"
"12/11/2023","328.90","328.90","328.90","328.90","","-0.62%"
"12/08/2023","330.96","330.96","330.96","330.96","","1.22%"
"12/07/2023","326.98","326.98","326.98","326.98","","-0.34%"
"12/06/2023","328.09","328.09","328.09","328.09","","0.28%"
"12/05/2023","327.17","327.17","327.17","327.17","","-0.30%"
"12/04/2023","328.14","328.14","328.14","328.14","","-0.18%"
"12/01/2023","328.72","328.72","328.72","328.72","","0.52%"
"11/30/2023","327.03","327.03","327.03","327.03","","-0.36%"
"11/29/2023","328.22","328.22","328.22","328.22","","0.75%"
"11/28/2023","325.77","325.77","325.77","325.77","","-0.69%"
"11/27/2023","328.03","328.03","328.03","328.03","","-0.13%"
"11/24/2023","328.47","328.47","328.47","328.47","","-0.51%"
"11/23/2023","330.14","330.14","330.14","330.14","","-0.13%"
"11/22/2023","330.57","330.57","330.57","330.57","","0.60%"
"11/21/2023","328.60","328.60","328.60","328.60","","-0.51%"
"11/20/2023","330.29","330.29","330.29","330.29","","-0.47%"
"11/17/2023","331.85","331.85","331.85","331.85","","-0.08%"
"11/16/2023","332.11","332.11","332.11","332.11","","-0.04%"
"11/15/2023","332.23","332.23","332.23","332.23","","1.05%"
"11/14/2023","328.78","328.78","328.78","328.78","","-0.11%"
"11/13/2023","329.15","329.15","329.15","329.15","","0.00%"
"11/10/2023","329.15","329.15","329.15","329.15","","-0.94%"
