DateTime,MSFT.O,IBM.N,GOOGL.O,SPX.GI,VIX.GI,DJI.GI,USDJPY.FX,GBPUSD.FX
2010/01/04,23.610089,76.698443,15.683935,1132.99,20.04,10583.96,92.52,1.6089
2010/01/05,23.617718,75.771924,15.614868,1136.52,19.35,10572.02,91.68,1.5991
2010/01/06,23.472777,75.27971,15.221237,1137.14,19.16,10573.68,92.32,1.6015
2010/01/07,23.230192,75.019127,14.866894,1141.69,19.06,10606.86,93.31,1.5933
2010/01/08,23.388864,75.771924,15.065086,1144.98,18.13,10618.19,92.66,1.6019
2010/01/11,23.091354,74.978591,15.042314,1146.98,17.55,10663.99,92.08,1.6112
2010/01/12,22.938785,75.575038,14.776306,1136.22,18.25,10627.26,90.98,1.6165
2010/01/13,23.152382,75.412897,14.691474,1145.68,17.85,10680.77,91.37,1.6279
2010/01/14,23.617718,76.617373,14.760541,1148.46,17.63,10710.55,91.19,1.6333
2010/01/15,23.541433,76.310463,14.514052,1136.03,17.91,10609.65,90.81,1.6261
2010/01/18,23.541433,76.310463,14.514052,1136.03,17.91,10609.65,90.75,1.6338
2010/01/19,23.724516,77.67708,14.704737,1150.23,17.58,10725.43,91.11,1.636
2010/01/20,23.33165,75.424479,14.524312,1138.04,18.68,10603.15,91.25,1.6289
2010/01/21,22.893014,74.700636,14.588624,1116.48,22.27,10389.88,90.45,1.6191
2010/01/22,22.092025,72.673874,13.763575,1091.76,27.31,10172.98,89.87,1.6107
2010/01/25,22.36665,73.0329,13.513083,1096.78,25.41,10196.86,90.27,1.6241
2010/01/26,22.503962,72.818643,13.573642,1092.17,24.55,10194.29,89.64,1.6141
2010/01/27,22.633646,73.154506,13.565634,1097.5,23.14,10236.16,89.99,1.6168
2010/01/28,22.244595,71.660493,13.370195,1084.53,23.73,10120.46,89.91,1.6135
2010/01/29,21.497005,70.872952,13.261439,1073.87,24.62,10067.33,90.27,1.5978
2010/02/01,21.67246,72.193242,13.338414,1089.19,22.59,10185.53,90.6,1.5956
2010/02/02,21.710602,72.691246,13.290868,1103.32,21.48,10296.85,90.37,1.5972
2010/02/03,21.840286,72.766526,13.533603,1097.28,21.6,10270.55,90.97,1.5886
2010/02/04,21.237638,71.226187,13.182213,1063.11,26.08,10002.18,89.05,1.5757
2010/02/05,21.37495,71.527306,13.295122,1066.19,26.11,10012.23,89.19,1.5639
2010/02/08,21.146096,70.893294,13.349675,1056.74,26.51,9908.39,89.23,1.5581
2010/02/09,21.367322,71.666908,13.423997,1070.52,26,10058.64,89.69,1.5716
2010/02/10,21.352065,71.434242,13.374073,1068.13,25.4,10038.38,89.92,1.5593
2010/02/11,21.451235,71.969374,13.422996,1078.47,23.96,10144.19,89.76,1.5703
2010/02/12,21.306294,72.126423,13.340916,1075.51,22.73,10099.14,89.94,1.5695
2010/02/22,22.019057,73.784167,13.583151,1108.01,19.94,10383.38,91.14,1.5481
2010/02/23,21.712492,73.557318,13.389714,1094.6,21.37,10282.41,90.21,1.5422
2010/02/24,21.942416,74.214599,13.299626,1105.24,20.27,10374.16,90.15,1.5406
2010/02/25,21.919423,73.912134,13.173504,1102.94,20.1,10321.03,89.11,1.5264
2010/02/26,21.973072,73.964484,13.182763,1104.49,19.5,10325.26,88.91,1.5233
2010/03/01,22.241317,74.784631,13.330156,1115.71,19.26,10403.79,89.11,1.4989
2010/03/02,21.812125,74.115716,13.539609,1118.31,19.06,10405.98,88.84,1.4969
2010/03/03,21.812125,73.801617,13.646212,1118.79,18.83,10396.76,88.47,1.5097
2010/03/04,21.942416,73.708551,13.878186,1122.97,18.72,10444.14,89.06,1.503
2010/03/05,21.909843,74.016833,14.11892,1138.7,17.42,10566.2,90.29,1.5131
2010/03/08,21.942416,73.528235,14.075628,1138.5,17.79,10552.52,90.28,1.5064
2010/03/09,22.072706,73.028003,14.018322,1140.45,17.92,10564.38,89.96,1.4994
2010/03/10,22.202996,73.06872,14.425216,1145.61,18.57,10567.33,90.5,1.4976
2010/03/11,22.363943,74.220416,14.54258,1150.24,18.06,10611.84,90.48,1.506
2010/03/12,22.43292,74.418182,14.502541,1149.99,17.58,10624.69,90.54,1.5201
2010/03/15,22.448248,74.354199,14.093145,1150.51,18,10642.15,90.48,1.505
2010/03/16,22.509562,74.842797,14.143694,1159.46,17.69,10685.98,90.25,1.525
2010/03/17,22.708829,74.313482,14.152702,1166.21,16.91,10733.67,90.32,1.5316
2010/03/18,22.693501,74.674114,14.173723,1165.83,16.62,10779.17,90.34,1.5241
2010/03/19,22.678173,74.284399,14.013568,1159.9,16.97,10741.98,90.53,1.501
2010/03/22,22.685837,74.441449,13.951007,1165.81,16.87,10785.89,90.07,1.5107
2010/03/23,22.900432,75.249963,13.738301,1174.17,16.35,10888.83,90.45,1.5034
2010/03/24,22.724157,74.761364,13.946753,1167.72,17.55,10836.15,92.16,1.4879
2010/03/25,23.000066,75.174346,14.085637,1165.73,18.4,10841.21,92.67,1.4819
2010/03/26,22.731821,75.185979,14.080883,1166.59,17.77,10850.36,92.5,1.4895
2010/03/29,22.678173,74.796264,14.074877,1173.22,17.59,10895.86,92.54,1.4978
2010/03/30,22.816127,74.900964,14.18148,1173.27,17.13,10907.42,92.77,1.507
2010/03/31,22.446332,74.598498,14.19174,1169.43,17.59,10856.63,93.45,1.5176
2010/04/01,22.348615,74.598498,14.233781,1178.1,17.47,10927.07,93.86,1.5293
2010/04/02,22.348615,74.598498,14.233781,1178.1,17.47,10927.07,94.57,1.5202
2010/04/06,22.471241,74.99403,14.219267,1189.44,16.23,10969.99,93.76,1.5262
2010/04/07,22.494233,74.732281,14.102153,1182.45,16.62,10897.52,93.25,1.5234
2010/04/08,22.931089,74.226233,14.200999,1186.44,16.48,10927.07,93.38,1.5277
2010/04/09,23.252983,74.895147,14.169218,1194.37,16.14,10997.35,93.16,1.5369
2010/04/12,23.237654,74.662481,14.332126,1196.48,15.58,11005.97,93.2,1.5356
2010/04/13,23.337288,75.052197,14.683466,1197.3,16.2,11019.42,93.2,1.5379
2010/04/14,23.620861,76.343492,14.73927,1210.65,15.59,11123.11,93.25,1.5466
2010/04/15,23.659182,76.134093,14.896923,1211.67,15.89,11144.57,93.06,1.5469
2010/04/16,23.505899,75.98286,13.766954,1192.13,18.36,11018.66,92.15,1.536
2010/04/19,23.788706,76.913524,13.765828,1197.52,17.34,11092.05,92.43,1.5336
2010/04/20,24.034724,75.436095,13.889447,1207.17,15.73,11117.06,93.2,1.538
2010/04/21,24.013265,75.02893,13.870929,1205.94,16.32,11124.92,93.16,1.5409
2010/04/22,24.057717,75.110363,13.689754,1208.67,16.47,11134.29,93.44,1.5387
2010/04/23,23.728159,75.610595,13.637954,1217.28,16.62,11204.28,93.95,1.5375
2010/04/26,23.843121,76.041027,13.30388,1212.05,17.47,11205.03,94.02,1.5453
2010/04/27,23.640021,74.930047,13.239318,1183.71,22.81,10991.99,93.09,1.5246
2010/04/28,23.689838,75.674578,13.242571,1191.36,21.08,11045.27,94.14,1.5201
2010/04/29,23.761115,75.883977,13.312889,1206.78,18.44,11167.32,94.1,1.5336
2010/04/30,23.402433,75.034747,13.155111,1186.69,22.05,11008.61,93.84,1.5266
2010/05/04,23.092036,74.522882,12.671518,1173.6,23.84,10926.77,94.66,1.5134
2010/05/05,22.87744,74.138983,12.75635,1165.9,24.91,10868.12,93.96,1.5102
2010/05/06,22.21066,72.449352,12.478832,1128.15,32.8,10520.32,90.85,1.4775
2010/05/07,21.620522,71.385296,12.340448,1110.88,40.95,10380.43,91.58,1.48
2010/05/10,22.180004,73.823271,13.053888,1159.73,28.84,10785.14,93.34,1.4855
2010/05/11,22.134019,74.185751,12.738583,1155.79,28.32,10748.26,92.65,1.4927
2010/05/12,22.56321,77.570853,12.646994,1171.67,25.52,10896.91,93.24,1.4825
2010/05/13,22.409928,76.869277,12.784377,1157.44,26.68,10782.95,92.67,1.4595
2010/05/14,22.17234,76.69973,12.700546,1135.68,31.24,10620.16,92.46,1.4532
2010/05/17,22.180004,76.261245,12.711557,1136.94,30.84,10625.83,92.6,1.4486
2010/05/18,22.016407,75.974769,12.471324,1120.8,33.55,10510.95,92.04,1.4282
2010/05/19,21.741178,75.337504,12.372729,1115.05,35.32,10444.37,91.79,1.4452
2010/05/20,20.871223,72.379195,11.886758,1071.59,45.79,10068.01,89.2,1.4352
2010/05/21,20.663357,73.326322,11.812687,1087.69,40.1,10193.39,89.96,1.4454
2010/05/24,20.22453,72.759215,11.94056,1073.65,38.32,10066.57,90.27,1.4405
2010/05/25,20.070556,72.80014,11.938308,1074.03,34.61,10043.75,90.3,1.4432
2010/05/26,19.254492,72.045946,11.89827,1067.95,35.02,9974.45,89.94,1.4374
2010/05/27,20.016665,73.893428,12.273383,1103.06,29.68,10258.99,90.95,1.4564
2010/05/28,19.862691,73.232778,12.152516,1089.41,32.07,10136.63,91.04,1.4456
2010/05/31,19.862691,73.232778,12.152516,1089.41,32.07,10136.63,91.17,1.4535
2010/06/01,19.931979,72.694904,12.070937,1070.71,35.54,10024.02,90.99,1.4641
2010/06/02,20.370806,74.489767,12.346203,1098.38,30.17,10249.54,92.24,1.4651
2010/06/03,20.678755,74.811323,12.65225,1102.83,29.46,10255.28,92.57,1.4618
2010/06/04,19.854992,73.244471,12.480083,1064.88,35.48,9931.97,91.84,1.4452
2010/06/07,19.470056,72.572128,12.149763,1050.47,36.57,9816.49,91.46,1.4468
2010/06/08,19.331479,72.332423,12.131245,1062,33.7,9939.98,91.52,1.4451
2010/06/09,19.08512,72.437659,11.861984,1055.69,33.73,9899.25,91.31,1.4536
2010/06/10,19.246793,74.647622,12.187049,1086.84,30.57,10172.53,91.25,1.4702
2010/06/11,19.754909,75.097799,12.224335,1091.6,28.79,10211.07,91.62,1.4548
2010/06/17,20.301518,76.576954,12.514116,1116.04,25.05,10434.17,90.89,1.4812
2010/06/18,20.355409,76.091698,12.512865,1117.51,23.95,10450.64,90.68,1.482
2010/06/21,19.978171,76.384021,12.225837,1113.2,24.88,10442.41,91.01,1.476
2010/06/22,19.839595,75.594749,12.168031,1095.31,27.05,10293.52,90.49,1.4803
2010/06/23,19.483914,76.068312,12.062929,1092.04,26.91,10298.44,89.93,1.4956
2010/06/24,19.246793,74.945791,11.889011,1073.69,29.74,10152.8,89.58,1.4922
2010/06/25,18.886878,74.32022,11.828452,1076.76,28.53,10143.81,89.22,1.5055
2010/06/28,18.715582,75.407662,11.813437,1074.57,29,10138.52,89.35,1.5096
2010/06/29,17.94571,73.133388,11.367506,1041.24,34.13,9870.3,88.5,1.5059
2010/06/30,17.714749,72.192108,11.13453,1030.71,34.54,9774.02,88.39,1.4938
2010/07/01,17.830229,71.66008,10.997898,1027.37,32.86,9732.53,87.75,1.5166
2010/07/02,17.914915,71.244981,10.924327,1022.58,30.12,9686.48,87.74,1.5199
2010/07/05,17.914915,71.244981,10.924327,1022.58,30.12,9686.48,87.75,1.5131
2010/07/06,18.338345,72.180415,10.912315,1028.06,29.65,9743.62,87.54,1.5146
2010/07/07,18.707883,74.250062,11.265907,1060.27,26.84,10018.28,87.75,1.5179
2010/07/08,18.792184,74.817169,11.425061,1070.25,25.71,10138.99,88.33,1.5137
2010/07/09,18.684787,74.811323,11.698576,1077.96,24.98,10198.03,88.59,1.5058
2010/07/12,19.115915,75.226422,11.907278,1078.75,24.43,10216.27,88.63,1.5025
2010/07/13,19.346877,76.284631,12.241852,1095.34,24.56,10363.02,88.68,1.5181
2010/07/14,19.585537,76.424946,12.295304,1095.17,24.89,10366.72,88.4,1.5264
2010/07/15,19.639428,76.424946,12.362469,1096.48,25.14,10359.31,87.37,1.5446
